Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
,289.28,0,0,40,Cloudy skies,Partly cloudy skies,02-10-2015 9:00,02-10-2015,7639.32
,290.26,0,0,75,Cloudy skies,Fragmented clouds,02-10-2015 10:00,02-10-2015,6300.32
,290.28,0,0,90,Cloudy skies,Full cloud cover,02-10-2015 11:00,02-10-2015,6621.42
,290.33,0,0,90,Cloudy skies,Full cloud cover,02-10-2015 12:00,02-10-2015,6958.12
,292.14,0,0,75,Cloudy skies,Fragmented clouds,02-10-2015 13:00,02-10-2015,6824.22
,292.72,0,0,1,Clear skies,Clear skies,02-10-2015 14:00,02-10-2015,7164.82
,293.37,0,0,1,Clear skies,Clear skies,02-10-2015 15:00,02-10-2015,7680.92
,294.16,0,0,1,Clear skies,Clear skies,02-10-2015 16:00,02-10-2015,8250.32
,294.84,0,0,20,Cloudy skies,Scattered clouds,02-10-2015 17:00,02-10-2015,7952.62
,293.7,0,0,20,Cloudy skies,Scattered clouds,02-10-2015 18:00,02-10-2015,6622.72
,291.67,0,0,21,Cloudy skies,Scattered clouds,02-10-2015 19:00,02-10-2015,5026.32
,289.98,0,0,2,Clear skies,Clear skies,02-10-2015 20:00,02-10-2015,4044.82
,289.51,0,0,2,Clear skies,Clear skies,02-10-2015 21:00,02-10-2015,3493.62
,287.56,0,0,2,Clear skies,Clear skies,02-10-2015 22:00,02-10-2015,2413.32
,286.05,0,0,1,Clear skies,Clear skies,02-10-2015 23:00,02-10-2015,1681.42
,284.73,0,0,1,Clear skies,Clear skies,03-10-2015 0:00,03-10-2015,1076.92
,284.17,0,0,1,Clear skies,Clear skies,03-10-2015 1:00,03-10-2015,836.42
,282.08,0,0,1,Clear skies,Clear skies,03-10-2015 2:00,03-10-2015,781.82
,281.99,0,0,2,Clear skies,Clear skies,03-10-2015 3:00,03-10-2015,901.42
,279.73,0,0,1,Clear skies,Clear skies,03-10-2015 4:00,03-10-2015,1479.92
,279.52,0,0,1,Clear skies,Clear skies,03-10-2015 5:00,03-10-2015,3953.82
,279.03,0,0,2,Clear skies,Clear skies,03-10-2015 6:00,03-10-2015,7804.42
,278.62,0,0,1,Clear skies,Clear skies,03-10-2015 8:00,03-10-2015,8886.02
,282.68,0,0,2,Clear skies,Clear skies,03-10-2015 9:00,03-10-2015,7535.32
,292.17,0,0,1,Clear skies,Clear skies,03-10-2015 12:00,03-10-2015,7056.92
,293.43,0,0,1,Clear skies,Clear skies,03-10-2015 13:00,03-10-2015,6774.82
,294.81,0,0,1,Clear skies,Clear skies,03-10-2015 14:00,03-10-2015,7363.72
,295.57,0,0,1,Clear skies,Clear skies,03-10-2015 15:00,03-10-2015,7818.72
,295.63,0,0,2,Clear skies,Clear skies,03-10-2015 16:00,03-10-2015,8399.82
,293.76,0,0,20,Cloudy skies,Scattered clouds,03-10-2015 18:00,03-10-2015,6436.82
,290.95,0,0,20,Cloudy skies,Scattered clouds,03-10-2015 19:00,03-10-2015,5091.32
,289.19,0,0,20,Cloudy skies,Scattered clouds,03-10-2015 20:00,03-10-2015,4198.22
,287.8,0,0,1,Clear skies,Clear skies,03-10-2015 21:00,03-10-2015,3848.52
,286.75,0,0,1,Clear skies,Clear skies,03-10-2015 22:00,03-10-2015,2735.72
,285.46,0,0,1,Clear skies,Clear skies,03-10-2015 23:00,03-10-2015,1738.62
,285.25,0,0,2,Clear skies,Clear skies,04-10-2015 0:00,04-10-2015,1197.82
,284.07,0,0,1,Clear skies,Clear skies,04-10-2015 1:00,04-10-2015,905.32
,283.67,0,0,1,Clear skies,Clear skies,04-10-2015 2:00,04-10-2015,824.72
,282.84,0,0,1,Clear skies,Clear skies,04-10-2015 3:00,04-10-2015,901.42
,281.89,0,0,1,Clear skies,Clear skies,04-10-2015 4:00,04-10-2015,1513.72
,281.52,0,0,1,Clear skies,Clear skies,04-10-2015 5:00,04-10-2015,3966.82
,281.64,0,0,1,Clear skies,Clear skies,04-10-2015 6:00,04-10-2015,7821.32
,280.87,0,0,2,Clear skies,Clear skies,04-10-2015 7:00,04-10-2015,9516.52
,282.26,0,0,1,Clear skies,Clear skies,04-10-2015 8:00,04-10-2015,8203.52
,285.78,0,0,1,Clear skies,Clear skies,04-10-2015 9:00,04-10-2015,7323.42
,289.38,0,0,1,Clear skies,Clear skies,04-10-2015 10:00,04-10-2015,6405.62
,292.55,0,0,1,Clear skies,Clear skies,04-10-2015 11:00,04-10-2015,6768.32
,295.97,0,0,1,Clear skies,Clear skies,04-10-2015 12:00,04-10-2015,7064.72
,296.78,0,0,1,Clear skies,Clear skies,04-10-2015 13:00,04-10-2015,7160.92
,297.62,0,0,2,Clear skies,Clear skies,04-10-2015 14:00,04-10-2015,7573.02
,298.37,0,0,2,Clear skies,Clear skies,04-10-2015 15:00,04-10-2015,7847.32
,298.26,0,0,21,Cloudy skies,Scattered clouds,04-10-2015 16:00,04-10-2015,8605.22
,298.17,0,0,20,Cloudy skies,Scattered clouds,04-10-2015 17:00,04-10-2015,8297.12
,296.76,0,0,40,Cloudy skies,Partly cloudy skies,04-10-2015 18:00,04-10-2015,6803.42
,294.85,0,0,40,Cloudy skies,Partly cloudy skies,04-10-2015 19:00,04-10-2015,4978.22
,292.73,0,0,41,Cloudy skies,Partly cloudy skies,04-10-2015 20:00,04-10-2015,4367.22
,292.67,0,0,75,Cloudy skies,Fragmented clouds,04-10-2015 21:00,04-10-2015,4090.32
,292.26,0,0,75,Cloudy skies,Fragmented clouds,04-10-2015 22:00,04-10-2015,3010.02
,291.72,0,0,75,Cloudy skies,Fragmented clouds,04-10-2015 23:00,04-10-2015,1945.32
,290.73,0,0,75,Cloudy skies,Fragmented clouds,05-10-2015 0:00,05-10-2015,1245.92
,291.06,0,0,40,Cloudy skies,Partly cloudy skies,05-10-2015 1:00,05-10-2015,926.12
,289.56,0,0,0,Clear skies,Clear skies,05-10-2015 3:00,05-10-2015,901.42
,283.71,0,0,76,Cloudy skies,Fragmented clouds,05-10-2015 5:00,05-10-2015,3654.82
,282.34,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 6:00,05-10-2015,7622.42
,281.89,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 7:00,05-10-2015,9039.42
,281.17,0,0,91,Cloudy skies,Full cloud cover,05-10-2015 8:00,05-10-2015,7621.12
,280.52,0,0,75,Cloudy skies,Fragmented clouds,05-10-2015 9:00,05-10-2015,7449.52
,280.21,0,0,76,Cloudy skies,Fragmented clouds,05-10-2015 10:00,05-10-2015,6625.32
,280.9,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 11:00,05-10-2015,7206.42
,281.53,0,0,91,Cloudy skies,Full cloud cover,05-10-2015 12:00,05-10-2015,8060.52
,282.03,0,0,75,Cloudy skies,Fragmented clouds,05-10-2015 13:00,05-10-2015,8181.42
,282.18,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 14:00,05-10-2015,8368.62
,282.41,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 15:00,05-10-2015,8394.62
,281.93,0,0,91,Cloudy skies,Full cloud cover,05-10-2015 16:00,05-10-2015,8320.52
,281.52,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 17:00,05-10-2015,8440.12
,281.87,0,0,90,Cloudy skies,Full cloud cover,05-10-2015 18:00,05-10-2015,7427.42
,280.35,0,0,91,Cloudy skies,Full cloud cover,05-10-2015 19:00,05-10-2015,5703.62
,280.08,0,0,91,Cloudy skies,Full cloud cover,05-10-2015 20:00,05-10-2015,4804.02
